COUNT,YEAR
9730,2001.0
8790,1996.0
8219,2000.0
8107,1997.0
8039,2008.0
7949,1995.0
7943,1999.0
7902,1998.0
7716,2006.0
7684,2004.0
7625,2007.0
7608,1993.0
7545,2003.0
7485,2002.0
7410,2005.0
6667,1992.0
6628,2010.0
6612,2009.0
6593,2012.0
6299,2011.0
6262,2016.0
6044,2013.0
5954,1994.0
5860,2015.0
5597,2014.0
4589,1991.0
2,
